,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
3027,Digital,OverDrive,EBOOK,2018,1,2,"Nightshifted: Edie Spence Series, Book 1",,Cassie Alexander,"Fantasy, Fiction, Romance",Macmillan Publishers,2013
3060,Digital,OverDrive,EBOOK,2018,1,1,Inspired & Unstoppable: Wildly Succeeding at Your Life's Work!,,Tama Kieves,"Business, Careers, Nonfiction","Penguin Group (USA), Inc.",2013
3075,Digital,OverDrive,EBOOK,2018,1,3,On Rue Tatin: Living and Cooking in a French Town,,Susan Herrmann Loomis,"Biography & Autobiography, Cooking & Food, Nonfiction","Random House, Inc.",2013
3094,Digital,OverDrive,EBOOK,2018,1,1,Simeon's Story: An Eyewitness Account of the Kidnapping of Emmett Till,,Simeon Wright,"Biography & Autobiography, Young Adult Nonfiction",Independent Publishers Group,2013
3098,Digital,OverDrive,EBOOK,2018,1,5,"One Night of Sin: The Knight Miscellany Series, Book 6",,Gaelen Foley,"Fiction, Historical Fiction, Romance","Random House, Inc.",2013
3137,Digital,OverDrive,EBOOK,2018,1,1,Animal Wise: How We Know Animals Think and Feel,,Virginia Morell,"Nature, Nonfiction, Pets, Science","Random House, Inc.",2013
3149,Digital,OverDrive,EBOOK,2018,1,4,"Steal the Dragon: Sianim Series, Book 3",,Patricia Briggs,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
3152,Digital,OverDrive,EBOOK,2018,1,5,Nexus,,Ramez Naam,"Fiction, Science Fiction, Suspense","Random House, Inc.",2013
3224,Digital,OverDrive,EBOOK,2018,1,1,"Into the Dark: The Bodyguards Series, Book 6",,Cindy Gerard,"Fiction, Romance, Suspense",Macmillan Publishers,2013
3230,Digital,OverDrive,EBOOK,2018,1,3,"Deeply Odd: Odd Thomas Series, Book 6",,Dean Koontz,"Fantasy, Fiction, Horror, Thriller","Random House, Inc.",2013
3256,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Beautiful Redemption: Beautiful Creatures Series, Book 4 (unabridged) (Unabridged)",,Kami Garcia,"Fantasy, Romance, Young Adult Fiction","Dreamscape Media, LLC",2013
3258,Digital,OverDrive,EBOOK,2018,1,2,"In the Bleak Midwinter: Clare Fergusson and Russ Van Alstyne Mystery Series, Book 1",,Julia Spencer-Fleming,"Fiction, Mystery",Macmillan Publishers,2013
3288,Digital,OverDrive,EBOOK,2018,1,2,Our Tragic Universe,,Scarlett Thomas,"Fiction, Literature",Houghton Mifflin Harcourt Trade and Reference,2013
3322,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Two Graves: Pendergast Series, Book 12 (unabridged) (Unabridged)",,Douglas Preston,"Fiction, Thriller","Blackstone Audio, Inc.",2013
3338,Digital,OverDrive,EBOOK,2018,1,1,Watching Eagles Soar,,Margaret Coel,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
3344,Digital,OverDrive,EBOOK,2018,1,3,Sisters in Sanity,,Gayle Forman,"Romance, Young Adult Fiction",HarperCollins Publishers Inc.,2013
3346,Digital,OverDrive,EBOOK,2018,1,2,The Danger,,Dick Francis,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
3375,Digital,OverDrive,EBOOK,2018,1,3,"Tempt the Stars: Cassandra Palmer Series, Book 6",,Karen Chance,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
3421,Digital,OverDrive,EBOOK,2018,1,1,"Jester Leaps In: Fools' Guild Mystery Series, Book 2",,Alan Gordon,"Fiction, Mystery",Macmillan Publishers,2013
3452,Digital,OverDrive,AUDIOBOOK,2018,1,3,Mastermind: How To Think Like Sherlock Holmes (unabridged) (Unabridged),,Maria Konnikova,"Nonfiction, Psychology, Self-Improvement",Gildan Media Corp,2013
3461,Digital,OverDrive,EBOOK,2018,1,1,The Wig in the Window,,Kristen Kittscher,"Humor (Fiction), Juvenile Fiction, Juvenile Literature, Mystery",HarperCollins Publishers Inc.,2013
3470,Digital,OverDrive,EBOOK,2018,1,2,"Nate the Great, San Francisco Detective: Nate the Great Series, Book 22",,Marjorie Weinman Sharmat,"Beginning Reader, Juvenile Fiction, Mystery","Random House, Inc.",2013
3499,Digital,OverDrive,EBOOK,2018,1,1,"The Pillars of Creation: Sword of Truth Series, Book 7",,Terry Goodkind,"Fantasy, Fiction",Macmillan Publishers,2013
3521,Digital,OverDrive,AUDIOBOOK,2018,1,6,Lost Girls: An Unsolved American Mystery (unabridged) (Unabridged),,Robert Kolker,"Nonfiction, True Crime",HarperCollins Publishers Inc.,2013
3541,Digital,OverDrive,EBOOK,2018,1,1,"Killer Keepsakes: Josie Prescott Antiques Mystery Series, Book 4",,Jane K. Cleland,"Fiction, Mystery",Macmillan Publishers,2013
3545,Digital,OverDrive,EBOOK,2018,1,3,"In the Ocean of Night: Galactic Center Series, Book 1",,Gregory Benford,"Fiction, Science Fiction","Hachette Digital, Inc.",2013
3580,Digital,OverDrive,AUDIOBOOK,2018,1,1,Sweet Salt Air: A Novel (unabridged) (Unabridged),,Barbara Delinsky,"Fiction, Literature, Romance",Macmillan Audio,2013
3588,Digital,OverDrive,AUDIOBOOK,2018,1,2,Roller Coaster (Unabridged),,Marla Frazee,"Juvenile Fiction, Juvenile Literature",Live Oak Media,2013
3603,Digital,OverDrive,EBOOK,2018,1,2,The Secret Life of Lady Lucinda,,Sophie Barnes,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2013
